insertId,labels.execution_id,labels.instance_id,logName,receiveLocation,receiveTimestamp,receivedLocation,resource.labels.function_name,resource.labels.project_id,resource.labels.region,resource.type,severity,textPayload,timestamp,trace
63f551cd000bcc11cfa2d175,zghe6hgdicdk,00c61b117c5fac430c3485b5e80b32ae30b3f7b339e3e862b54d3706817ab68f77b690e485dccb3584eb32e01262ad424f7794abf17d6bd7705f,projects/blidd-experiments/logs/cloudfunctions.googleapis.com%2Fcloud-functions,,2023-02-21T23:20:45.924339135Z,,helloWorld,blidd-experiments,us-central1,cloud_function,ERROR,"Error: Process exited with code 1
    at process.<anonymous> (/layers/google.nodejs.functions-framework/functions-framework/node_modules/@google-cloud/functions-framework/build/src/invoker.js:92:22)
    at process.emit (node:events:513:28)
    at process.emit (node:domain:489:12)
    at process.exit (node:internal/process/per_thread:190:15)
    at /workspace/index.js:7:11
    at cloudFunction (/workspace/node_modules/firebase-functions/lib/v1/providers/https.js:51:16)
    at /layers/google.nodejs.functions-framework/functions-framework/node_modules/@google-cloud/functions-framework/build/src/function_wrappers.js:101:17
    at processTicksAndRejections (node:internal/process/task_queues:78:11)",2023-02-21T23:20:45.773137Z,projects/blidd-experiments/traces/3c29d31d8dbf6e495f3989e926933702
63f551cd0009cb8881428329,k6cy46w0yrkn,00c61b117ca2385d50ceb2ac6eb8374285da146b8c650179afaed5f4ea63cec4c2963ebf39a969f1ec4f67b80158eca91979205bf2e1bc4e632a,projects/blidd-experiments/logs/cloudfunctions.googleapis.com%2Fcloud-functions,,2023-02-21T23:20:45.843217948Z,,helloWorld,blidd-experiments,us-central1,cloud_function,ERROR,"Error: Process exited with code 1
    at process.<anonymous> (/layers/google.nodejs.functions-framework/functions-framework/node_modules/@google-cloud/functions-framework/build/src/invoker.js:92:22)
    at process.emit (node:events:513:28)
    at process.emit (node:domain:489:12)
    at process.exit (node:internal/process/per_thread:190:15)
    at /workspace/index.js:7:11
    at cloudFunction (/workspace/node_modules/firebase-functions/lib/v1/providers/https.js:51:16)
    at /layers/google.nodejs.functions-framework/functions-framework/node_modules/@google-cloud/functions-framework/build/src/function_wrappers.js:101:17
    at processTicksAndRejections (node:internal/process/task_queues:78:11)",2023-02-21T23:20:45.641928Z,projects/blidd-experiments/traces/898377660467b2e450ba96b056cc15ce
63f551cd0009c593ced6b5d2,bdvksau5ybit,00c61b117cba311a8b3d4c93c6addc3d760264cc85f0b76e488e04dabd8e963d9988d8134a6ed8b4a3680b820bdf1f2026a9dac50a4bba41e43b,projects/blidd-experiments/logs/cloudfunctions.googleapis.com%2Fcloud-functions,,2023-02-21T23:20:45.708759431Z,,helloWorld,blidd-experiments,us-central1,cloud_function,ERROR,"Error: Process exited with code 1
    at process.<anonymous> (/layers/google.nodejs.functions-framework/functions-framework/node_modules/@google-cloud/functions-framework/build/src/invoker.js:92:22)
    at process.emit (node:events:513:28)
    at process.emit (node:domain:489:12)
    at process.exit (node:internal/process/per_thread:190:15)
    at /workspace/index.js:7:11
    at cloudFunction (/workspace/node_modules/firebase-functions/lib/v1/providers/https.js:51:16)
    at /layers/google.nodejs.functions-framework/functions-framework/node_modules/@google-cloud/functions-framework/build/src/function_wrappers.js:101:17
    at processTicksAndRejections (node:internal/process/task_queues:78:11)",2023-02-21T23:20:45.640403Z,projects/blidd-experiments/traces/e6b8e382d00b349a6b45f144c619ac8e
ci19dlf13ekr2,zghe6hgdicdk,,projects/blidd-experiments/logs/cloudfunctions.googleapis.com%2Fcloud-functions,,2023-02-21T23:20:45.588372783Z,,helloWorld,blidd-experiments,us-central1,cloud_function,DEBUG,"Function execution took 82 ms, finished with status: 'crash'",2023-02-21T23:20:45.575145589Z,projects/blidd-experiments/traces/3c29d31d8dbf6e495f3989e926933702
63f551cd00087901f69a1cef,ag13t2iwqbvd,00c61b117cf771af3339d12a481fb5540ba97314bec3249c664a0a29e298ebfbe2b3ff197f4a3cba601688a951cc87f1848d7bea5593d3c3b76135,projects/blidd-experiments/logs/cloudfunctions.googleapis.com%2Fcloud-functions,,2023-02-21T23:20:45.573623471Z,,helloWorld,blidd-experiments,us-central1,cloud_function,ERROR,"Error: Process exited with code 1
    at process.<anonymous> (/layers/google.nodejs.functions-framework/functions-framework/node_modules/@google-cloud/functions-framework/build/src/invoker.js:92:22)
    at process.emit (node:events:513:28)
    at process.emit (node:domain:489:12)
    at process.exit (node:internal/process/per_thread:190:15)
    at /workspace/index.js:7:11
    at cloudFunction (/workspace/node_modules/firebase-functions/lib/v1/providers/https.js:51:16)
    at /layers/google.nodejs.functions-framework/functions-framework/node_modules/@google-cloud/functions-framework/build/src/function_wrappers.js:101:17
    at processTicksAndRejections (node:internal/process/task_queues:78:11)",2023-02-21T23:20:45.555265Z,projects/blidd-experiments/traces/61f2db201c9515a20009fd75036ce287
63f551cd00086ab0d995c96f,p5f2oxfhci8v,00c61b117c6401387f06029555db355f755e2a657e9d432f1e0f6814c4cb2e93e449161070f3ca0f6b8b816bf76f9aa32f5db2b3d7cb5ea1b8c6,projects/blidd-experiments/logs/cloudfunctions.googleapis.com%2Fcloud-functions,,2023-02-21T23:20:45.554753297Z,,helloWorld,blidd-experiments,us-central1,cloud_function,ERROR,"Error: Process exited with code 1
    at process.<anonymous> (/layers/google.nodejs.functions-framework/functions-framework/node_modules/@google-cloud/functions-framework/build/src/invoker.js:92:22)
    at process.emit (node:events:513:28)
    at process.emit (node:domain:489:12)
    at process.exit (node:internal/process/per_thread:190:15)
    at /workspace/index.js:7:11
    at cloudFunction (/workspace/node_modules/firebase-functions/lib/v1/providers/https.js:51:16)
    at /layers/google.nodejs.functions-framework/functions-framework/node_modules/@google-cloud/functions-framework/build/src/function_wrappers.js:101:17
    at processTicksAndRejections (node:internal/process/task_queues:78:11)",2023-02-21T23:20:45.551600Z,projects/blidd-experiments/traces/50ddda6f2002f6899ec0d88e84bade6a
63f551cd00085f2e233513c4,xxfpcn3a1z0h,00c61b117c799bc5c77030f6177c67be800af2c845c398c88d39bc5f548f7657ad7352619dfc35e9b1969dc206f6b059b6136f8482c21e8ffc5d,projects/blidd-experiments/logs/cloudfunctions.googleapis.com%2Fcloud-functions,,2023-02-21T23:20:45.707072039Z,,helloWorld,blidd-experiments,us-central1,cloud_function,ERROR,"Error: Process exited with code 1
    at process.<anonymous> (/layers/google.nodejs.functions-framework/functions-framework/node_modules/@google-cloud/functions-framework/build/src/invoker.js:92:22)
    at process.emit (node:events:513:28)
    at process.emit (node:domain:489:12)
    at process.exit (node:internal/process/per_thread:190:15)
    at /workspace/index.js:7:11
    at cloudFunction (/workspace/node_modules/firebase-functions/lib/v1/providers/https.js:51:16)
    at /layers/google.nodejs.functions-framework/functions-framework/node_modules/@google-cloud/functions-framework/build/src/function_wrappers.js:101:17
    at processTicksAndRejections (node:internal/process/task_queues:78:11)",2023-02-21T23:20:45.548654Z,projects/blidd-experiments/traces/0fc65ba35fa9fc908cb62d18d7f4355d
1x3c23hfhaytmx,bdvksau5ybit,,projects/blidd-experiments/logs/cloudfunctions.googleapis.com%2Fcloud-functions,,2023-02-21T23:20:45.708759431Z,,helloWorld,blidd-experiments,us-central1,cloud_function,DEBUG,"Function execution took 1108 ms, finished with status: 'crash'",2023-02-21T23:20:45.546806233Z,projects/blidd-experiments/traces/e6b8e382d00b349a6b45f144c619ac8e
63f551cd00085777b05ce914,5ve26ktkdfce,00c61b117c3d203535bc4b037d501747686a5fb461d1910b4e597a30272b41d5e3c6f6092a1c4a24cc0294e58f27bb640013da17592ea426eebe,projects/blidd-experiments/logs/cloudfunctions.googleapis.com%2Fcloud-functions,,2023-02-21T23:20:45.707072039Z,,helloWorld,blidd-experiments,us-central1,cloud_function,ERROR,"Error: Process exited with code 1
    at process.<anonymous> (/layers/google.nodejs.functions-framework/functions-framework/node_modules/@google-cloud/functions-framework/build/src/invoker.js:92:22)
    at process.emit (node:events:513:28)
    at process.emit (node:domain:489:12)
    at process.exit (node:internal/process/per_thread:190:15)
    at /workspace/index.js:7:11
    at cloudFunction (/workspace/node_modules/firebase-functions/lib/v1/providers/https.js:51:16)
    at /layers/google.nodejs.functions-framework/functions-framework/node_modules/@google-cloud/functions-framework/build/src/function_wrappers.js:101:17
    at processTicksAndRejections (node:internal/process/task_queues:78:11)",2023-02-21T23:20:45.546679Z,projects/blidd-experiments/traces/a3d46c89a741841d6283b727477bcf1b
63f551cd000829f68d3bf815,opo8hqrpw9ad,00c61b117cf31f187bdca60422733bcc5932263686bf26f8c073d5c0752c62f8d82a12f8f6ee8bebf5cce5257625848a695ba4809c595854b105,projects/blidd-experiments/logs/cloudfunctions.googleapis.com%2Fcloud-functions,,2023-02-21T23:20:45.839453571Z,,helloWorld,blidd-experiments,us-central1,cloud_function,ERROR,"Error: Process exited with code 1
    at process.<anonymous> (/layers/google.nodejs.functions-framework/functions-framework/node_modules/@google-cloud/functions-framework/build/src/invoker.js:92:22)
    at process.emit (node:events:513:28)
    at process.emit (node:domain:489:12)
    at process.exit (node:internal/process/per_thread:190:15)
    at /workspace/index.js:7:11
    at cloudFunction (/workspace/node_modules/firebase-functions/lib/v1/providers/https.js:51:16)
    at /layers/google.nodejs.functions-framework/functions-framework/node_modules/@google-cloud/functions-framework/build/src/function_wrappers.js:101:17
    at processTicksAndRejections (node:internal/process/task_queues:78:11)",2023-02-21T23:20:45.535030Z,projects/blidd-experiments/traces/39fd0ff540ccd907e5323aae4de99f66
